time,"V(3)","V(4)","V(5)","V(6)"
3.950000e-11,-2.287529e-05,-9.438652e-06,-9.020741e-06,-7.447711e-06
3.975000e-11,-2.287529e-05,-9.438653e-06,-9.020740e-06,-7.447711e-06
4.000000e-11,-2.287529e-05,-9.438654e-06,-9.020739e-06,-7.447711e-06
4.025000e-11,-2.287529e-05,-9.438654e-06,-9.020738e-06,-7.447711e-06
4.050000e-11,-2.287529e-05,-9.438653e-06,-9.020737e-06,-7.447711e-06
4.075000e-11,-2.287529e-05,-9.438653e-06,-9.020737e-06,-7.447711e-06
4.100000e-11,-2.287529e-05,-9.438653e-06,-9.020738e-06,-7.447712e-06
4.125000e-11,-2.287529e-05,-9.438652e-06,-9.020739e-06,-7.447712e-06
4.150000e-11,-2.287529e-05,-9.438652e-06,-9.020739e-06,-7.447712e-06
4.175000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447712e-06
4.200000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.225000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.250000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.275000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.300000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.325000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.350000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.375000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.400000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.425000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.450000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.475000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.500000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.525000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447712e-06
4.550000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447712e-06
4.575000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447712e-06
4.600000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.625000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.650000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.675000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.700000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.725000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.750000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.775000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.800000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.825000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.850000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.875000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.900000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.925000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.950000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
4.975000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.000000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.025000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.050000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.075000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.100000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.125000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.150000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.175000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.200000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.225000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.250000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.275000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.300000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.325000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.350000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.375000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.400000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.425000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.450000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.475000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.500000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.525000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.550000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.575000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.600000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.625000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.650000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.675000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.700000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.725000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.750000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.775000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.800000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.825000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.850000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.875000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.900000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.925000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.950000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
5.975000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.000000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.025000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.050000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.075000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.100000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.125000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.150000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.175000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.200000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.225000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.250000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.275000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.300000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.325000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.350000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.375000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.400000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.425000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.450000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.475000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.500000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.525000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.550000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.575000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
